SAMPLE	QUALITY	COUNT_OF_Q
out/default/sample1	2	140129
out/default/sample1	5	220
out/default/sample1	6	423
out/default/sample1	7	2490
out/default/sample1	8	3978
out/default/sample1	9	2096
out/default/sample1	10	3518
out/default/sample1	11	1167
out/default/sample1	12	637
out/default/sample1	13	1655
out/default/sample1	14	575
out/default/sample1	15	1969
out/default/sample1	16	2695
out/default/sample1	17	2952
out/default/sample1	18	4299
out/default/sample1	19	2834
out/default/sample1	20	2968
out/default/sample1	21	1706
out/default/sample1	22	4240
out/default/sample1	23	5017
out/default/sample1	24	6209
out/default/sample1	25	8612
out/default/sample1	26	11185
out/default/sample1	27	13134
out/default/sample1	28	12708
out/default/sample1	29	16523
out/default/sample1	30	27873
out/default/sample1	31	32397
out/default/sample1	32	30123
out/default/sample1	33	39935
out/default/sample1	34	60022
out/default/sample1	35	114832
out/default/sample1	36	47333
out/default/sample1	37	68921
out/default/sample1	38	50670
out/default/sample1	39	74590
out/default/sample1	40	89819
out/default/sample1	41	114071
out/default/sample2	2	148081
out/default/sample2	5	174
out/default/sample2	6	431
out/default/sample2	7	2744
out/default/sample2	8	4133
out/default/sample2	9	2132
out/default/sample2	10	3389
out/default/sample2	11	1069
out/default/sample2	12	734
out/default/sample2	13	1695
out/default/sample2	14	601
out/default/sample2	15	1987
out/default/sample2	16	2568
out/default/sample2	17	3023
out/default/sample2	18	4355
out/default/sample2	19	2887
out/default/sample2	20	3129
out/default/sample2	21	1927
out/default/sample2	22	4137
out/default/sample2	23	5094
out/default/sample2	24	6186
out/default/sample2	25	8998
out/default/sample2	26	11571
out/default/sample2	27	13179
out/default/sample2	28	12865
out/default/sample2	29	17316
out/default/sample2	30	27700
out/default/sample2	31	32882
out/default/sample2	32	30696
out/default/sample2	33	39980
out/default/sample2	34	59559
out/default/sample2	35	111730
out/default/sample2	36	46420
out/default/sample2	37	68243
out/default/sample2	38	50456
out/default/sample2	39	73301
out/default/sample2	40	88422
out/default/sample2	41	111356
